book_name,author,language,physically_exists,status,notes
Stratejik Pazarlama,Harvard Business Review Press,Turkish,true,completed,interesting book for sales
HBR's 10 Must Reads on Managing People,Harvard Business Review Press,English,true,completed,bullshit
HBR On Leadership,Harvard Business Review Press,English,true,completed,bullshit
HBR's 10 Must Reads on Making Smart Decisions,Harvard Business Review Press,English,true,completed,bullshit
HBR's 10 Must Reads on Teams,Harvard Business Review Press,English,true,completed,bullshit
Kralların Çarpışması 1,George R. R. Martin,Turkish,true,completed,
Kralların Çarpışması 2,George R. R. Martin,Turkish,true,completed,
Taht oyunları,George R. R. Martin,Turkish,true,completed,
Kılıçların Fırtınası Kısım 1,George R. R. Martin,Turkish,true,completed,
Kılıçların Fırtınası Kısım 2,George R. R. Martin,Turkish,true,completed,
Ateş ve Kan,George R. R. Martin,Turkish,true,completed,
Ejderhaların Dansı. Kısım 1,George R. R. Martin,Turkish,true,completed,
Ejderhaların Dansı. Kısım 2,George R. R. Martin,Turkish,true,completed,
Kargaların Ziyafeti. Kısım 1,George R. R. Martin,Turkish,true,completed,
Kargaların Ziyafeti. Kısım 2,George R. R. Martin,Turkish,true,completed,
Buz Ejderhasi,George R. R. Martin,Turkish,true,completed,
Da Vinci Şifresi,Dan Brown,Azerbaijani,true,completed,
Cehennem,Dan Brown,Turkish,false,completed,
Başlangıç,Dan Brown,Turkish,true,completed,
Dijital Kale,Dan Brown,Turkish,true,completed,
Itirilmiş Simvol,Dan Brown,Azerbaijani,true,completed,
Ihanet noktasi,Dan Brown,Turkish,true,completed,
Foundation's Edge,Isaac Asimov,Turkish,true,completed,
Second Foundation,Isaac Asimov,Turkish,true,completed,
Foundation and Empire,Isaac Asimov,Turkish,true,completed,
Foundation,Isaac Asimov,Turkish,true,completed,
Kendine Iyi Davran Güzel Insan,Beyhan Budak,Turkish,true,completed,
Aklındakini Okuyabilirim,David J. Lieberman,Turkish,true,completed,
The Social Brain: The Psychology of Successful Groups,Robin Dunbar and Samantha Rockey and Tracey Camilleri,English,true,completed,
Stressə qarşı peyvənd. Öz həyatının sahibi ol,Valeri Sinelnikov,Azerbaijani,true,completed,
Hayır Diyebilme Sanatı,Müthiş Psikoloji,Turkish,true,completed,
Education of the Will: The Theory and Practice of Self-Culture,Jules Payot,Turkish,true,completed,
Aklın Yeni Sınırları,Daniel H. Pink,Turkish,true,completed,
Thinking Fast and Slow,Daniel Kahneman,Turkish,true,completed,everyone should read this book
Kitleler Psikolojisi,Gustave Le Bon,Turkish,true,completed,
It Didn't Start with You,Mark Wolynn,Turkish,true,completed,
